FEN,Moves
r2qk2r/p1p2ppp/1p2pn2/8/P2P4/BnPbPN2/5PPP/1R1Q1RK1 w kq - 0 14,"[None, 'd1d3', 'b3a5']"
r2qk2r/p4ppp/1p2pn2/n1p1N3/P2P4/B1PQP3/5PPP/1R3RK1 w kq - 0 16,"[None, 'd3b5', 'f6d7', 'd4c5', 'a7a6', 'b5d7', 'd8d7', 'e5d7']"
r2q3r/p3kppp/1p2pn2/nQp1N3/P2P4/B1P1P3/5PPP/1R3RK1 w - - 2 17,"[None, 'd4c5', 'f6e4', 'c5b6', 'e7f6', 'b5a5', 'd8d5', 'a5d5', 'e6d5']"
r2q3r/p4ppp/1pN1pk2/nQPn4/P7/B1P1P3/5PPP/1R3RK1 w - - 3 19,"[None, 'c6d8', 'h8d8', 'c5b6', 'a5b7']"
8/p4ppp/4p1k1/2B5/P1n4P/4PQ2/5PPK/1r6 w - - 3 28,"[None, 'f3g4', 'g6h6', 'g4g5']"
8/B5Qp/3nkp2/8/P3pK1P/4P3/5rP1/8 w - - 0 36,"[None, 'f4g3', 'd6f5', 'g3f2']"
8/B5Qp/4kp2/5n2/P3p2P/4P1K1/5rP1/8 w - - 2 37,"[None, 'g3f2']"
8/7p/5p2/4k3/P2np1P1/4P1K1/8/8 w - - 0 43,"[None, 'e3d4']"
r1b2rk1/q3bppp/1pn1pn2/p2p2B1/3P4/2PQ1N2/PPB1NPPP/R4RK1 w - - 0 14,"[None, 'g5f6', 'g7g6', 'f6e7', 'a7e7']"
r1b2rk1/q4ppp/1pn1pb2/p2p4/3P4/2PQ1N2/PPB1NPPP/R4RK1 w - - 0 15,"[None, 'd3h7']"
r2qkb1r/ppp2ppp/2n1pn2/3pN3/3P2P1/2PbP2P/PP3P2/RNBQK2R w KQkq - 0 9,"[None, 'e5d3', 'd8d7']"
r2qkb1r/ppp2ppp/2n1p3/3pN3/3Pn1P1/2PQP2P/PP3P2/RNB1K2R w KQkq - 1 10,"[None, 'e5c6']"
r3k2r/p1p1bppp/2p1p3/8/3PQ1Pq/2P1P2P/PP3P2/R1B1K2R w KQkq - 1 14,"[None, 'e4c6', 'e8f8', 'c6a8', 'e7d8']"
r2k3r/p1p1bppp/2Q1p3/8/3P2Pq/2P1P2P/PP3P2/R1B1K2R w KQ - 1 15,"[None, 'c6a8', 'd8d7', 'a8h8', 'h4h6']"
rnbqk2r/ppb1nppp/2p1p3/3p4/1PPP1B2/P1N2N2/4PPPP/R2QKB1R w KQkq - 1 8,"[None, 'f4c7']"
r1b2rk1/1p2nppp/p2q4/3pn3/1P1P4/PQNBP3/5PPP/2R2RK1 w - - 0 16,"[None, 'd4e5']"
3r1rk1/1N2nppp/p7/3p4/1P6/PQ1BPbPq/7P/2R1R1K1 w - - 1 24,"[None, 'd3f1', 'h3e6', 'b7d8']"
4rrk1/5ppp/p5n1/2Np1B2/1P6/P3PbPq/2Q4P/2R1R1K1 w - - 7 27,"[None, 'f5h3', 'g6e5']"
4rrk1/6pp/p4p2/2Npn3/1P6/P3P1P1/2Q3bP/2R2RK1 w - - 0 30,"[None, 'c2g2', 'f8f7', 'g2d5', 'a6a5', 'b4a5', 'h7h6']"
6k1/5rpp/p4p2/2Np4/1P4n1/P3r1P1/4Q2P/2R2R1K w - - 0 33,"[None, 'e2g4', 'h7h5', 'g4h5', 'e3e5']"
4r2k/6pp/p3rp2/8/1PQ5/P5P1/7P/2R2R1K w - - 2 39,"[None, 'c4e6', 'h7h6', 'e6e8', 'h8h7', 'f1f6', 'h6h5', 'e8h5', 'h7g8', 'c1c8']"
4r2k/6pp/p4p2/8/1PQ5/P5P1/7P/4rR1K w - - 0 40,"[None, 'f1e1']"
r2qkb1r/pp3ppp/2n1p3/2ppPn2/3P1P2/5b2/PPPBB1PP/RN1Q1RK1 w kq - 0 10,"[None, 'e2f3']"
r1bqk2r/ppp1bppp/2n1p3/3p2B1/2PPn3/2N1PN2/PP3PPP/R2QKB1R w KQkq - 1 7,"[None, 'g5e7', 'c6e7', 'c3e4']"
r1b1k2r/ppp1qppp/2n1p3/3P4/3P4/2n1PN2/PP3PPP/R2QKB1R w KQkq - 0 9,"[None, 'b2c3']"
6r1/8/Rpnk4/1Q1p3p/3Pq2P/2P1P1P1/5P2/2R3K1 b - - 0 35,"[None, 'g8g3', 'f2g3', 'e4e3', 'g1g2']"
8/8/1rnk4/1Q1p3p/3Pq2P/2P1P1P1/5P2/2R3K1 w - - 0 37,"[None, 'b5b6', 'd6d7']"
8/8/1Qnk4/3p3p/3P3P/2PqP1P1/5P2/1R4K1 b - - 2 38,"[None, 'd3b1', 'b6b1']"
8/8/1Qnk4/3p3p/3P3P/2P1P1P1/5P2/1q4K1 w - - 0 39,"[None, 'b6b1', 'd6c7']"
r2qk2r/ppp2ppp/2nb1n2/3pp3/3P4/3BPbBP/PPPN1PP1/R2QK2R w KQkq - 0 9,"[None, 'g2f3']"
r2qk2r/ppp2ppp/2nb1n2/3pN3/3P4/3pP1BP/PPP2PP1/R2QK2R w KQkq - 0 11,"[None, 'c2d3', 'e8g8', 'e5c6']"
r2q1rk1/ppp3pp/2nb4/3pNp2/3P1P2/3QP2P/PPP2nP1/R3K2R w KQ - 0 16,"[None, 'e1f2', 'c6e7']"
1r3rk1/ppp1q1pp/2n5/1Q1pbp2/2PP1P2/4P1PP/PP3K2/R6R w - - 0 20,"[None, 'b5d5', 'g8h8', 'd4e5', 'c6b4']"
3r1r1k/1pp2n1p/p5p1/8/8/5q2/PPQ3RR/7K w - - 4 32,"[None, 'h2h7', 'h8h7', 'c2g6', 'h7h8', 'g6g7']"
r2q1rk1/pp4pp/1b3p2/4n2b/1P6/P2pPN1P/1B3PP1/R2Q1RK1 w - - 3 17,"[None, 'b2e5']"
r2q1rk1/pp4pp/1b3p2/7b/1P1B4/P2pPn1P/5PP1/R2Q1RK1 w - - 0 18,"[None, 'g2f3', 'd8d7']"
r2q1rk1/pp4pp/5p2/7b/1P1b4/P2pPP1P/5P2/R2Q1RK1 w - - 0 19,"[None, 'e3d4']"
3r3k/pp4pp/5p2/8/1P6/PQ3b1q/5P2/4R1K1 w - - 0 26,"[None, 'b3f3']"
r1bq1rk1/pppnppb1/3p1npp/8/2PPP3/2N1BN2/PP1Q1PPP/R3KB1R w KQ - 0 8,"[None, 'e3h6', 'e7e5', 'h6g7']"
r1bq1rk1/pppnpp2/3p1npb/8/2PPP3/2N2N2/PP1Q1PPP/R3KB1R w KQ - 0 9,"[None, 'd2h6', 'e7e5']"
r1bq1rk1/ppp1pp2/1n1p2p1/8/2PPP1nQ/2N2N2/PP3PPP/R3KB1R w KQ - 3 11,"[None, 'c4c5', 'c7c6', 'c5b6']"
r1bq1rk1/ppp1pp2/3p2p1/8/2nPP1nQ/P1N2N2/1P3PPP/R3KB1R w KQ - 0 12,"[None, 'f1c4', 'g8g7']"
r1bq1rk1/ppp2p2/3p2p1/4p1N1/2BPP1nQ/P1N5/1P3PPP/R3K2R b KQ - 1 13,"[None, 'd8g5', 'h4g5']"
r1bq1r2/ppp2pk1/5np1/4p1N1/2B1P2Q/P1N5/1P3PPP/2KR3R w - - 0 16,"[None, 'd1d8', 'f8d8', 'g5f7', 'c8e6', 'c4e6', 'd8h8', 'f7h8', 'a8e8', 'h8g6', 'e8e6']"
r1br4/ppp2pk1/5np1/4p1N1/2B1P2Q/P1N5/1P3PPP/2K4R w - - 0 17,"[None, 'g5f7', 'c8e6', 'c4e6', 'd8h8', 'f7h8', 'a8h8']"
r3kb1r/pppqpppp/2n2n2/3p1bB1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 7 6,"[None, 'g5f6']"
r3kb1r/ppp1pppp/8/q4bB1/2BP4/4P3/1P1N1PPP/2nQK2R w Kkq - 0 12,"[None, 'd1c1', 'e7e6']"
r4rk1/ppp2ppp/1q2p1b1/8/2BPP3/1N3P2/1P1b2PP/2Q2RK1 w - - 0 18,"[None, 'c1d2', 'a7a5']"
5rk1/pppr2p1/1q5p/3b4/5N2/8/1P2Q1PP/5R1K w - - 2 31,"[None, 'f4d5', 'f8f1', 'e2f1']"
1r1qr1k1/ppp2ppp/2n2b2/2Pp4/3P4/1QN2b2/PP2BPPP/R3R1K1 w - - 0 14,"[None, 'e2f3', 'c6d4', 'b3d5', 'c7c6']"
1r1qr1k1/ppp2ppp/5b2/2Pp4/3n4/1QN2B2/PP3PPP/R3R1K1 w - - 0 15,"[None, 'b3d5', 'c7c6', 'd5d8', 'd4f3', 'g2f3']"
1r1qr1k1/ppp2ppp/5b2/2PQ4/8/2N2n2/PP3PPP/R3R1K1 w - - 0 16,"[None, 'd5f3', 'e8e1', 'a1e1', 'd8d2']"
1r1qr1k1/ppp2ppp/5b2/2PQ4/8/2N2P2/PP3P1P/R3R1K1 b - - 0 16,"[None, 'e8e1', 'a1e1', 'f6c3', 'd5d8']"
1r1qr1k1/ppp2ppp/8/2PQ4/8/2b2P2/PP3P1P/R3R1K1 w - - 0 17,"[None, 'e1e8', 'd8e8', 'b2c3', 'b8d8', 'd5b7', 'e8e7', 'b7a7', 'e7g5']"
1r1r2k1/ppp2ppp/8/2P5/8/2b2P2/PP3P1P/R3R1K1 w - - 0 18,"[None, 'b2c3', 'g8f8']"
1r3k1r/1p3p2/2p5/p1P2K2/6RR/2P5/P4P1P/8 w - - 6 36,"[None, 'h4h8', 'f8e7', 'h8b8', 'e7d7', 'b8b7', 'd7c8', 'b7f7', 'a5a4', 'g4g8']"
1r5R/1p2kp2/2p5/p1P2K2/6R1/2P5/P4P1P/8 w - - 1 37,"[None, 'h8b8', 'e7d7', 'b8b7', 'd7c8', 'b7f7', 'a5a4', 'g4g8']"
1R6/1p1k1p2/2p5/p1P2K2/6R1/2P5/P4P1P/8 w - - 1 38,"[None, 'b8b7', 'd7c8', 'b7f7', 'a5a4', 'g4g8']"
2k5/1R3p2/2p5/p1P2K2/6R1/2P5/P4P1P/8 w - - 1 39,"[None, 'b7f7', 'a5a4', 'g4g8']"
3k4/5R2/2p5/p1P2K2/6R1/2P5/P4P1P/8 w - - 1 40,"[None, 'g4g8']"
r3k2r/1pp2pp1/p3pn1p/P1P4b/1nB5/4PN1P/1B3PP1/R2q1RK1 w kq - 0 17,"[None, 'f1d1', 'h5f3', 'g2f3', 'b4c6', 'b2f6', 'g7f6']"
r4rk1/1pp2pp1/p3pn1p/P1P1N3/2B1P1P1/7P/1B5K/3R1n2 w - - 0 23,"[None, 'c4f1', 'a8d8']"
r2q1rk1/ppp1bppp/2n2n2/4pbB1/3p4/1QPP1NP1/PP1NPPBP/R3K2R w KQ - 0 9,"[None, 'b3b7', 'd8d7', 'f3d4', 'c6d4', 'c3d4', 'e5e4', 'd3e4', 'a8b8', 'b7a6', 'f6e4', 'd2e4', 'f5e4', 'g2e4']"
r2q1rk1/ppp1bppp/2n2n2/4pbB1/8/1QpP1NP1/PP1NPPBP/R4RK1 w - - 0 10,"[None, 'b3b7', 'c3b2', 'b7b2', 'h7h6', 'g5f6']"
r2q1rk1/p1p1bppp/1p3n2/nQ2pbB1/8/2PP1NP1/P2NPPBP/R4RK1 w - - 0 12,"[None, 'f3e5', 'c7c5', 'g2a8', 'd8a8']"
r2q1rk1/p1pnbppp/1p6/nQ2pbB1/2N5/2PP1NP1/P3PPBP/R4RK1 w - - 2 13,"[None, 'g5e7', 'd8e7', 'c4a5', 'a7a6']"
r4rk1/p1pn1ppp/1pN2q2/1Q2pbb1/8/2PP1NP1/P3PPBP/R4RK1 w - - 2 15,"[None, 'f3g5', 'a7a6', 'b5d5']"
r4rk1/p1p2ppp/1p2bq2/1Q2n1b1/4P3/2PP1NP1/P4PBP/R4RK1 w - - 0 17,"[None, 'b5e5', 'f6e5', 'f3e5', 'g5d2']"
r4rk1/p1p2ppp/1p2b3/4q1b1/4P3/2PP1NP1/P4PBP/R4RK1 w - - 0 18,"[None, 'f3e5', 'g5d2']"
r2r2k1/p1pb1ppp/1p6/4N1b1/3PP3/2P3P1/P4PBP/R4RK1 w - - 1 20,"[None, 'e5d7']"
r5k1/p2r1ppp/1p6/2p1P1b1/3P4/2P3P1/P4PBP/R4RK1 w - - 0 22,"[None, 'g2a8', 'g5d2']"
B2r2k1/p4ppp/1p6/4P1b1/5P2/6P1/P6P/R4RK1 w - - 1 25,"[None, 'f4g5']"
r3k2r/ppp2ppp/1bn5/3qp2b/Q7/2PPBN1P/PP2BPP1/R3K2R w KQkq - 3 12,"[None, 'e3b6']"
3r1rk1/pp3pp1/1pn4p/4p3/4N1B1/2PP4/qP1Q1P2/3RK1R1 w - - 0 24,"[None, 'e4f6', 'g8h8', 'g1h1', 'e5e4', 'h1h6', 'g7h6', 'd2h6']"
3r1rk1/pp3pp1/1pn4p/3qpB2/4N3/2PP4/1P1Q1P2/3RK1R1 w - - 2 25,"[None, 'd2h6', 'd5e4', 'f5e4', 'g7g6', 'g1h1', 'g6g5', 'h6g5']"
3r1rk1/pp3pp1/1pn4Q/3qpB2/4N3/2PP4/1P3P2/3RK1R1 b - - 0 25,"[None, 'd5e4', 'f5e4']"
3r1rk1/pp3p2/1pn3pQ/3qpB2/4N3/2PP4/1P3P2/3RK1R1 w - - 0 26,"[None, 'e4f6']"
1nkr1br1/1pp4p/1p3p1n/1B1Pp1p1/P3Pq2/5b2/NBQ2PPP/2R2RK1 w - - 0 21,"[None, 'c2c7']"
rnbqk1nr/ppp2ppp/4p3/8/2pP4/2b1PN2/PP3PPP/R1BQKB1R w KQkq - 0 6,"[None, 'b2c3', 'b7b5']"
rn2qrk1/pbp2ppp/1p2pn2/8/P1BP4/B1P1PN2/2Q2PPP/R4RK1 w - - 3 12,"[None, 'a3f8', 'b7f3', 'g2f3']"
r4qk1/pbpn1ppp/1p2pn2/4N3/P1BP4/2P1P3/2Q2PPP/R4RK1 w - - 2 14,"[None, 'e5d7']"
r4qk1/pbp2ppp/1p2pn2/4n3/P2P4/2PBP3/2Q2PPP/R4RK1 w - - 0 15,"[None, 'd4e5', 'f6d5', 'd3h7', 'g8h8']"
r7/pb3pk1/1p2p1pq/3nP3/2P1B3/4P3/2Q2PPP/R4RK1 w - - 1 21,"[None, 'c4d5', 'h6h4', 'e4g6', 'a8h8', 'h2h3', 'h8c8']"
r7/p4pk1/1p2p1pq/3bP3/4B3/4P3/2Q2PPP/R4RK1 w - - 0 22,"[None, 'e4d5']"
7r/p4p2/1p2P1pk/3p2q1/8/2Q1P2P/5PP1/R4RK1 w - - 1 26,"[None, 'c3h8']"
r2qk2r/ppp2ppp/2n2n2/1Bbppb2/P6P/1P2P3/1BPP1PP1/RN1QK1NR w KQkq - 3 7,"[None, 'b2e5', 'e8g8', 'b5c6']"
r2q1rk1/p1p2ppp/1bp2n2/3p4/P2Pb2P/1P3P2/1BP1Q1P1/RN2K1NR w KQ - 1 12,"[None, 'f3e4', 'b6a5']"
r2qr1k1/p1p3pp/2p2p2/b2pP3/P2Pn2P/1PPQ4/1B4P1/RN2K1NR w KQ - 0 16,"[None, 'b1d2', 'f6e5', 'd2e4', 'd5e4', 'd3c4', 'd8d5', 'c4d5']"
r2qr1k1/p1p3pp/2p5/b2pp3/P2Pn2P/1PPQ4/1B1N2P1/R3K1NR w KQ - 0 17,"[None, 'd2e4']"
rq4k1/p1p1r1pp/1bp1N3/8/P1PQp2P/8/1B4P1/2KR3R w - - 4 24,"[None, 'c4c5', 'b6a5', 'e6g7', 'b8b2', 'd4b2', 'e7g7']"
rq4k1/p1p1r1pp/2p1N3/b1P5/P2Qp2P/8/1B4P1/2KR3R w - - 1 25,"[None, 'e6g7', 'b8b2', 'd4b2', 'e7g7']"
rq2r1k1/p1p3pp/2p1N3/b1P5/P2Qp2P/8/1B4P1/2KR1R2 w - - 3 26,"[None, 'd4g7']"
rn2kbnr/p2ppppp/1q6/2N5/1p1P4/4Pb2/PP1B1PPP/R2QKB1R w KQkq - 0 10,"[None, 'd1f3', 'b8c6']"
r3kb1r/p2ppppp/1qn2n2/2N5/1pBP4/4PQ2/PP1B1PPP/R3K2R w KQkq - 3 12,"[None, 'c4f7', 'e8f7', 'c5d7', 'b6d8', 'd7f6', 'c6d4', 'e3d4']"
r3kb1r/p3pppp/1qn2n2/2Np4/1pBP4/4PQ2/PP1B1PPP/R3KR2 w Qkq - 0 13,"[None, 'c4d5', 'a8c8', 'd5c6']"
3rkb1r/p3pppp/1qn2n2/2NB4/1p1P4/4PQ2/PP1B1PPP/R3KR2 w Qk - 1 14,"[None, 'd5c6', 'f6d7']"
3rkb1r/p3pppp/2q2n2/2N5/1p1P4/4PQ2/PP1B1PPP/R3KR2 w Qk - 0 15,"[None, 'f3c6', 'f6d7', 'd2b4', 'e7e6']"
3rk2r/p2n1ppp/N1Q1p3/8/1b1P4/4P3/PP2KPPP/R4R2 w k - 0 19,"[None, 'a6b4', 'e8g8']"
4rr2/p4nkp/5Np1/5p2/8/4P3/PPQ1KPPP/2RR4 w - - 2 28,"[None, 'f6e8']"
4r2k/p2R3p/6p1/5p2/4nP1Q/4P3/PP2K1PP/2R5 w - - 5 34,"[None, 'h4h7']"
r2qkb1r/pp2pppp/2n2n2/3pN3/3P4/2N4P/PPP1bPP1/R1BQK2R w KQkq - 0 9,"[None, 'c3e2', 'e7e6']"
r2q1rk1/pp3ppp/2nbpn2/3pN3/8/2N4P/PPP2PP1/R1BQRK2 w - - 2 14,"[None, 'e5c6']"
r2q1rk1/pp3ppp/3bpn2/3pn3/8/2N2Q1P/PPP2PP1/R1B1RK2 w - - 0 15,"[None, 'e1e5']"
2rq1rk1/pp3ppp/3bpn2/1N1p4/8/3Q3P/PnP2PP1/R1B1RK2 w - - 0 18,"[None, 'c1b2', 'd6c5']"
2rq1rk1/1p3ppp/p2bpn2/1N1p4/2n5/3Q3P/P1P2PP1/R1B1RK2 w - - 0 20,"[None, 'b5d6']"
2r2rk1/5ppp/p3p3/1p1p2P1/2n1n3/3Q3P/P1P2P1q/1RB1RK2 w - - 1 24,"[None, 'e1e4', 'h2h1']"
2r2rk1/5ppp/p3p3/1p1p2n1/2n5/5Q1P/P1P2P1q/1RB1RK2 w - - 0 25,"[None, 'c1g5', 'c4e5', 'e1e5']"
2r2rk1/5ppp/p3p3/1p1p2n1/8/2Q2n1P/P1P2P1q/1RB1RK2 b - - 5 27,"[None, 'c8c3', 'f1e2', 'c3c2', 'e2d1', 'h2f2', 'a2a3']"
5rk1/5ppp/p3p3/1p1p2nq/8/2rK1n2/P1P2P2/1RB1R3 w - - 0 30,"[None, 'd3c3']"
r2qkb1r/1ppb1ppp/p1n2n2/1B1p4/3P4/2N2N2/PPP2PPP/R1BQ1RK1 w kq - 0 8,"[None, 'b5c6']"
r2qk2r/1ppbbppp/p1n2n2/1B1p4/3P4/2N2N2/PPP2PPP/R1BQR1K1 w kq - 2 9,"[None, 'b5c6']"
r2qr1k1/1ppb1ppp/p1n5/3p2b1/B2PnB2/2P2N2/PP2NPPP/R2QR1K1 w - - 1 13,"[None, 'f3g5']"
r2qr1k1/1ppb1ppp/p7/3pn1n1/B2P4/2P5/PP2NPPP/R2QR1K1 w - - 0 15,"[None, 'd4e5', 'd7a4', 'd1a4']"
2r5/1p1nNppk/p5qp/8/3P4/2P5/PP3PPP/4R2K w - - 2 24,"[None, 'e7g6', 'h7g6']"
3r4/1p1P1pp1/4k1n1/1p6/P7/2P2K2/8/3R4 w - - 0 39,"[None, 'a4b5', 'd8d7', 'd1d7']"
rnbqkb1r/ppp1pppp/5n2/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 1 3,"[None, 'c4d5', 'c7c6', 'd5c6', 'e7e5', 'd4e5', 'd8d1', 'e1d1', 'f6e4']"
r3kb1r/pppqpppp/2n2n2/1B3b2/3P4/2N1PN2/PP3PPP/R1BQK2R w KQkq - 3 8,"[None, 'd4d5', 'a7a6', 'b5a4', 'b7b5', 'd5c6']"
r3kb1r/pppq1ppp/2n1pn2/1B3b2/3P4/2N1PN2/PP3PPP/R1BQ1RK1 w kq - 0 9,"[None, 'f3e5', 'c6e5', 'b5d7', 'e5d7']"
r3kb1r/1ppq1ppp/p1n1pn2/1B3b2/3P4/2N1PN2/PP3PPP/R1BQR1K1 w kq - 0 10,"[None, 'f3e5', 'd7d6', 'b5c6', 'b7c6', 'e3e4', 'f5g6', 'e5g6', 'h7g6', 'e4e5', 'd6d7', 'e5f6', 'e8c8']"
r3r1k1/2p2ppp/pp1bp3/6B1/3Pq3/1Q3N1P/PP3PP1/4R1K1 w - - 5 19,"[None, 'e1e4', 'a8b8']"
r2qkbnr/pp2pppp/2n5/3pP3/3p2b1/2P2N2/PP2BPPP/RNBQK2R w KQkq - 0 7,"[None, 'f3d4', 'g4e2', 'd1e2', 'e7e6', 'd4c6']"
r2qkb1r/pp2nppp/2n1p3/3pP3/3P4/5b1P/PP2BPP1/RNBQ1RK1 w kq - 0 10,"[None, 'e2f3', 'd8b6']"
2rq1rk1/4bppp/p1n1p3/1p1pP3/3P4/P3nBNP/1P3PP1/2RQ1RK1 w - - 0 17,"[None, 'f2e3', 'e7g5']"
1r3rk1/3q1ppp/p3p3/1p1pP1b1/3n4/P3PB1P/1P2QNP1/2R2RK1 w - - 0 21,"[None, 'e3d4']"
1r3rk1/3q1ppp/p3p3/1p1pP3/3P4/P4B1P/1P2QNP1/2b2RK1 w - - 0 22,"[None, 'f1c1', 'b5b4', 'e2a6', 'd7e7']"
2r2r1k/5p1N/p3p1p1/1p1pP1Q1/1P1q4/5B1P/6PK/8 w - - 0 34,"[None, 'h7f6', 'h8g7', 'f6h5', 'g7h7', 'h5f6', 'h7g7']"
2r2r1k/5p1N/p3p1p1/1p1pP2Q/1P1q4/5B1P/6PK/8 b - - 1 34,"[None, 'g6h5', 'f3d1', 'h8h7', 'g2g4']"
r2qr1k1/pp1n1ppp/5n2/2bp4/3N4/2P2N2/PP3PPP/R1BQR1K1 w - - 3 14,"[None, 'e1e8']"
r5k1/ppqn1ppp/5n2/2bp2B1/Q2N4/2P2N2/PP3PPP/R3r1K1 w - - 0 16,"[None, 'a1e1', 'h7h6', 'g5f6', 'd7f6']"
n3Rqk1/p4ppp/8/3p4/8/2n2NB1/P4PPP/6K1 w - - 2 26,"[None, 'e8f8', 'g8f8']"
r2qkb1r/ppp1pppp/2n5/8/3PP1b1/2n2N2/PP3PPP/R1BQKB1R w KQkq - 0 7,"[None, 'b2c3', 'e7e5']"
r2qk2r/ppp1bppp/2n1p3/1B6/3PP1b1/2P2N2/P4PPP/R1BQK2R w KQkq - 2 9,"[None, 'b5c6']"
r2qk2r/ppp2ppp/2n1p3/1B6/3PP2b/2PQ1b2/P4PPP/R1B2RK1 w kq - 0 11,"[None, 'd3f3', 'a7a6', 'b5c6', 'b7c6']"
r3k2r/ppp2ppp/2n1pq2/1B6/3PP2b/2P2Q2/P4PPP/R1B2RK1 w kq - 1 12,"[None, 'f3h5', 'g7g6', 'h5c5', 'e8c8', 'b5c6']"
2krr3/1pp3pp/p1n2b2/4p3/P2P4/B1PB4/5PPP/1R2R1K1 w - - 0 20,"[None, 'd3h7', 'e5d4', 'h7f5', 'c8b8', 'e1e8', 'd8e8', 'f5d7', 'e8e2', 'd7c6', 'e2a2']"
5R2/2pk2pp/p4r2/8/2p4P/5KP1/5P2/8 w - - 4 40,"[None, 'f8f6']"
1r3rk1/p1q2ppp/4pn2/2NpNb2/Q2P4/2P5/PP3PPP/R3R1K1 w - - 3 18,"[None, 'c5a6', 'c7b7', 'a6b8']"
1r3rk1/p4ppp/Nq2pn2/3pNb2/Q2P4/2P5/PP3PPP/R3R1K1 w - - 5 19,"[None, 'a6b8']"
4r1k1/3b1pp1/5n1p/2qpP3/PP6/2P4P/5PP1/R3R1K1 w - - 0 29,"[None, 'b4c5', 'f6e4', 'c3c4', 'e4c5', 'c4d5', 'd7a4']"
4r1k1/Pb3pp1/7p/4n3/8/2R4P/5PP1/4R1K1 w - - 1 37,"[None, 'e1b1', 'e5c6', 'b1b7', 'c6a7', 'b7a7', 'e8f8']"
r1bqk2r/p4ppp/1pn2n2/2b5/B3p3/4Q2P/PPP2PP1/RNB1K1NR w KQkq - 2 11,"[None, 'a4c6', 'c8d7', 'c6d7', 'd8d7']"
r2qk2r/p2b1ppp/1pn2n2/2b5/B3p3/2Q4P/PPP2PP1/RNB1K1NR w KQkq - 4 12,"[None, 'a4c6']"
r2q1rk1/p2b1ppp/1pn2n2/2b3B1/B3p3/2Q4P/PPP2PP1/RN2K1NR w KQ - 6 13,"[None, 'g5f6']"
r2q1rk1/p4ppp/1pb2n2/2b3B1/4p3/2Q4P/PPP2PP1/RN2K1NR w KQ - 0 14,"[None, 'g5f6', 'd8f6', 'c3f6']"
r2q1rk1/p4ppp/1pb2B2/2b5/4p3/2Q4P/PPP2PP1/RN2K1NR b KQ - 0 14,"[None, 'd8f6', 'c3f6']"
r2q1rk1/1b1nbpp1/p3p2p/1p1p4/3Pn2B/1BN1PN2/PP3PPP/2RQ1RK1 w - - 6 14,"[None, 'h4e7', 'd8e7', 'c3e4']"
r4rk1/1b1nqpp1/p3p2p/1p1p4/3Pn3/1BN1PN2/PP3PPP/2RQ1RK1 w - - 0 15,"[None, 'c3e4']"
r2r2k1/1b2qpp1/p6p/1p2p3/4N3/PB2n3/1PQ2PPP/2R2RK1 w - - 0 21,"[None, 'f2e3', 'a8c8', 'f1f7', 'e7f7', 'b3f7', 'g8f7']"
r2r2k1/4qpp1/p6p/1p2p3/4b3/PB2P3/1PQ3PP/2R2RK1 w - - 0 22,"[None, 'c2e4', 'a8c8', 'c1c8', 'd8c8', 'b3f7', 'e7f7', 'f1f7', 'g8f7']"
r6k/6p1/p2r2Bp/1p2p1q1/4Q3/P3P3/1P4PP/2R2RK1 w - - 3 25,"[None, 'e4a8', 'd6d8', 'f1f8', 'd8f8', 'a8f8']"
Q2r3k/6p1/p5Bp/1p2p1q1/8/P3P3/1P4PP/2R2RK1 w - - 1 26,"[None, 'f1f8', 'd8f8', 'a8f8']"
rn1qkb1r/pp3ppp/2p1pn2/3pN3/3P4/2N1P3/PPP1bPPP/R1BQK2R w KQkq - 0 7,"[None, 'd1e2', 'b8d7']"
rn1q1rk1/pp3ppp/3bp3/2pp4/3P1Pn1/2N1P3/PPP1Q1PP/R1B2RK1 w - - 0 11,"[None, 'e2g4', 'b8d7']"
rn3rk1/pp3ppp/3bpq2/2pp4/3P1Pn1/2N1PQ2/PPP3PP/R1B2RK1 w - - 2 12,"[None, 'f3g4']"
rn1qkbnr/pp3ppp/2p5/8/2BP4/2N2b2/PP3PPP/R1BQK2R w KQkq - 0 8,"[None, 'd1f3', 'g8f6']"
rn3rk1/pp3ppp/2p4B/6Qn/2q5/2b5/PP3PPP/3RR1K1 w - - 0 16,"[None, 'b2c3', 'c4b5']"
rn3rk1/pp3ppp/2p4B/6Qn/8/2q5/P4PPP/3RR1K1 w - - 0 17,"[None, 'g5h5', 'c3f6']"
3r1rk1/pp3pqp/n1p5/8/8/4R3/P2Q1PPP/3R2K1 w - - 5 21,"[None, 'd2d8', 'g7g4']"
3r2k1/pp3pqp/n1p5/8/8/4R3/P4PPP/3R2K1 w - - 0 22,"[None, 'd1d8', 'g7f8', 'e3g3', 'g8h8', 'd8f8']"
rnbqkbnr/pp2pppp/2p5/8/3Pp3/8/PPPN1PPP/R1BQKBNR w KQkq - 0 4,"[None, 'd2e4', 'g8f6', 'e4f6']"
rnbqkb1r/pp2pppp/2p2n2/8/3PN3/8/PPP2PPP/R1BQKBNR w KQkq - 1 5,"[None, 'e4f6']"
r1bq3r/pp3kp1/2pbpn1p/4n3/2BP4/8/PPP2PPP/R1BQ1RK1 w - - 0 11,"[None, 'd4e5']"
